管理者種別番号,鉄道駅通し番号,鉄道駅内トイレ通し番号,鉄道会社名,路線名,鉄道駅名,都道府県,市区町村・番地,ビル建物名,トイレ名,設置フロア,経度,緯度,座標系,性別の分け,トイレへの誘導路として点字ブロックを敷設している,トイレの位置等を音声で案内している,戸の形式,車椅子が出入りできる（出入口の有効幅員80cm以上）,車椅子が転回できる（直径150cm以上の円が内接できる）,便座に背もたれがある,便座に手すりがある,オストメイト用設備がある,オストメイト用設備が温水対応している,大型ベッドを備えている,乳幼児用おむつ交換台等を備えている,乳幼児用椅子を備えている,非常用呼び出しボタンを設置している,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,祝日,その他,写真データ（トイレの入り口）,写真データ（トイレ内）,写真データ（トイレ内（別角度））,備考,データの作成年月,データの変更年月,データの削除年月
10,8,1,東京地下鉄,8号線有楽町線,豊洲,東京都,江東区豊洲4丁目1番1号,,バリアフリートイレ,B1F,139.79568,35.655273,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,httpss://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_008_01_1.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_008_01_2.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_008_01_3.jpg,,201901,202401,
10,8,2,東京地下鉄,8号線有楽町線,豊洲,東京都,江東区豊洲4丁目1番1号,,バリアフリートイレ,B1F,139.79613,35.654903,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,×,○,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_008_02_1.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_008_02_2.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_008_02_3.jpg,,201901,202401,
10,25,1,東京地下鉄,5号線東西線,東陽町,東京都,江東区東陽4丁目2番1号,,バリアフリートイレ,B2F,139.8185,35.66961,JGD2011,共用,○,○,B.自動引き戸（センサー）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_025_01_1.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_025_01_2.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_025_01_3.jpg,,201901,202401,
10,25,2,東京地下鉄,5号線東西線,東陽町,東京都,江東区東陽4丁目2番1号,,バリアフリートイレ,B1F,139.8168,35.66945,JGD2011,共用,○,○,B.自動引き戸（センサー）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_025_02_1.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_025_02_2.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_025_02_3.jpg,,201901,202401,
10,30,1,東京地下鉄,5号線東西線,門前仲町,東京都,江東区門前仲町1丁目4番8号,,バリアフリートイレ,B1F,139.797,35.67147,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_030_01_1.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_030_01_2.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_030_01_3.jpg,,201901,202401,
10,30,2,東京地下鉄,5号線東西線,門前仲町,東京都,江東区門前仲町1丁目4番8号,,バリアフリートイレ,B1F,139.7944,35.67252,JGD2011,共用,○,○,C.手動引き戸,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_030_02_1.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_030_02_2.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_030_02_3.jpg,,201901,202401,
10,34,1,東京地下鉄,8号線有楽町線,新木場,東京都,江東区新木場1丁目6番地先,,バリアフリートイレ,3F,139.82602,35.64588,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,×,○,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_034_01_1.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_034_01_2.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_034_01_3.jpg,,201901,202401,
10,62,1,東京地下鉄,5号線東西線,南砂町,東京都,江東区南砂3丁目11番85号,,バリアフリートイレ,B1F,139.8318,35.66831,JGD2011,共用,○,○,B.自動引き戸（センサー）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_062_01_1.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_062_01_2.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_062_01_3.jpg,,201901,202401,
10,69,1,東京地下鉄,11号線半蔵門線,住吉,東京都,江東区猿江2丁目9番10号,,バリアフリートイレ,B2F,139.8158,35.688487,JGD2011,共用,×,○,B.自動引き戸（センサー）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_069_01_1.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_069_01_2.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_069_01_3.jpg,,201901,202401,
10,70,1,東京地下鉄,11号線半蔵門線,清澄白河,東京都,江東区白河1丁目6番13号,,バリアフリートイレ,B1F,139.79951,35.682064,JGD2011,共用,○,○,B.自動引き戸（センサー）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_070_01_1.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_070_01_2.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_070_01_3.jpg,,201901,202401,
10,70,2,東京地下鉄,11号線半蔵門線,清澄白河,東京都,江東区白河1丁目6番13号,,バリアフリートイレ,B1F,139.80157,35.682164,JGD2011,共用,○,○,B.自動引き戸（センサー）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_070_02_1.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_070_02_2.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_070_02_3.jpg,,201901,202401,
10,103,1,東京地下鉄,8号線有楽町線,辰巳,東京都,江東区辰巳1丁目1番44号,,バリアフリートイレ,B2F,139.80996,35.646041,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,×,○,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_103_01_1.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_103_01_2.jpg,https://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/10_103_01_3.jpg,,201901,202401,
